from,to,distance
50t,61t,9.371847418491818
50t,bkp100t,15.573841869272117
50t,bkp101t,23.03018227071466
50t,bkp102t,8.292409905294933
50t,bkp103t,7.605318444955219
50t,bkp104t,14.291211736971448
50t,bkp105t,13.491156556169093
50t,bkp112t,5.699499931678477
50t,bkp114t,0.6174481023226258
50t,bkp116t,8.594826677314776
50t,bkp117t,14.687396064321222
50t,bkp118t,21.46082412070422
50t,bkp119t,3.3469491788081744
50t,bkp121t,10.170758619164342
50t,bkp120t,22.116125718161413
50t,bkp122t,2.455669039169632
50t,bkp123t,8.48122005626934
50t,bkp124t,8.542392249803587
50t,bkp126t,17.149551018430028
50t,bkp125t,16.124740954752536
50t,bkp128t,26.509604044727315
50t,bkp127t,19.890605895641706
50t,bkp129t,37.41004038966226
50t,bkp130t,18.564005634419164
50t,bkp131t,5.594830632663418
50t,bkp133t,6.037568845207035
50t,bkp56t,4.537951502664547
50t,bkp57t,7.86721931150396
50t,bkp58t,6.50713563372466
50t,bkp59t,2.963048299765383
50t,bkp60t,5.232341177038426
50t,bkp62t,2.5457145761555973
50t,bkp61t,3.603834995437244
50t,bkp64t,8.316268181173774
50t,bkp66t,0.6043602631954967
50t,bkp67t,2.918924646516963
50t,bkp69t,6.272508834446937
50t,bkp70t,5.439092341618163
50t,bkp65t,0.8449471354635588
50t,bkp71t,12.456989230417944
50t,bkp72t,12.88301562948419
50t,bkp74t,20.72491327207765
50t,bkp73t,13.440636875817436
50t,bkp80t,37.812869612477954
50t,bkp79t,31.85327458894492
50t,bkp81t,12.844181725761024
50t,bkp78t,26.80019239770741
50t,bkp77t,18.15908919195234
50t,bkp82t,6.268701617728582
50t,bkp76t,12.580484087327322
50t,bkp75t,22.533508005940206
50t,o26,47.92756365436447
50t,14t,23.412723178251543
50t,18t,16.19243499469804
50t,17t,9.340382306126479
50t,08t,7.524079983075385
50t,22t,19.88505864016173
50t,13t,13.483487208956381
50t,20t,35.19339531194534
50t,81t,53.077323003549694
50t,o10,12.92088597369058
50t,bkp98t,16.960489630109443
50t,bkp97t,17.846849324505875
50t,bkp99t,16.660825012581714
50t,bkp95t,8.570404200289932
50t,bkp93t,6.775292130042643
50t,27t,35.68369154312336
50t,16t,12.682426589828873
50t,bkp96t,11.034331368289468
50t,bkp92t,5.406328154585642
50t,bkp91t,9.999756461117563
50t,bkp89t,21.45430026618459
50t,bkp87t,19.637960680363854
50t,bkp85t,6.975112249685431
50t,19t,31.267501086195193
50t,o63,10.379537824342957
50t,bkp90t,20.555382300262835
50t,bkp88t,9.024179349966534
50t,bkp86t,13.033555715668804
50t,bkp94t,5.812566841212551
50t,bkp84t,6.785559770031887
50t,bkp83t,4.125687704422197
50t,bkp63t,5.530906776011467
52t,02t,0.6616675273677065
52t,03t,12.577223839888932
52t,11t,10.748357957820167
52t,12t,6.939373961045612
52t,50t,5.398214613974317
52t,52t,0.0
52t,53t,13.786444960286877
52t,54t,8.381052306197882
52t,59t,8.121028600901877
52t,61t,14.582028596155189
52t,bkp100t,20.807721241324803
52t,bkp101t,27.74618407560774
52t,bkp102t,5.574743335671698
52t,bkp103t,7.643440127105922
52t,bkp104t,9.041229785427364
52t,bkp105t,9.254166594770581
52t,bkp112t,4.234514651497757
52t,bkp114t,5.990761999116667
52t,bkp116t,11.596814549431237
52t,bkp117t,19.703477521750376
52t,bkp118t,26.85173835994193
52t,bkp119t,8.717837682027263
52t,bkp121t,8.428474182569575
52t,bkp120t,24.067193873701054
52t,bkp122t,7.8011879618077655
52t,bkp123t,11.263609944330572
52t,bkp124t,5.29727982040842
52t,bkp126t,11.913463665823025
52t,bkp125t,21.3588319238138
52t,bkp128t,31.85835026564055
52t,bkp127t,14.593284873132658
52t,bkp129t,42.635905254371245
52t,bkp130t,22.115670119137903
52t,bkp131t,5.817167437260256
52t,bkp133t,4.724667610751908
52t,bkp56t,8.603408383319152
52t,bkp57t,12.80317677659955
52t,bkp58t,5.499287298180559
52t,bkp59t,6.244554692753391
52t,bkp60t,6.627060750951249
52t,bkp62t,3.067007061838557
52t,bkp61t,4.4968966166625375
52t,bkp64t,13.528816486837078
52t,bkp66t,5.579833733806963
52t,bkp67t,4.835325145839428
52t,bkp69t,8.63324225756849
52t,bkp70t,10.813130330922737
52t,bkp65t,4.588755325559767
52t,bkp71t,17.827810188308625
52t,bkp72t,17.4029486952875
52t,bkp74t,23.408701308514544
52t,bkp73t,16.306761490406007
52t,bkp80t,43.038948941852524
52t,bkp79t,32.77923072726122
52t,bkp81t,17.881450630516763
52t,bkp78t,32.153222905686924
52t,bkp77t,23.376365452351227
52t,bkp82t,2.5469582927077123
52t,bkp76t,17.903728966608604
52t,bkp75t,26.47162482708067
52t,o26,43.04367041456017
52t,14t,18.01878523642147
52t,18t,18.599639278261225
52t,17t,10.0065078546636
52t,08t,9.271920610636728
52t,22t,21.154423888132712
52t,13t,14.667732513709884
52t,20t,37.370118948545105
52t,81t,47.95860003369763
52t,o10,18.234304064544393
52t,bkp98t,20.082832043082114
52t,bkp97t,20.39541010446667
